x	S(x),tau=0(buckley)	S(x),tau=0.001	S(x),tau=0.01	S(x),tau=0.1	S(x),tau=1.0	S(x),tau=10.0	xi(x),tau=0.001	xi(x),tau=0.01	xi(x),tau=0.1	xi(x),tau=1.0	xi(x),tau=10.0	
0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0.0050	0.9935	0.9933	0.9904	0.9247	0.7387	0.6916	0.0067	0.0100	0.1655	0.8178	0.9800	
0.0101	0.9864	0.9861	0.9800	0.8573	0.5877	0.5281	0.0140	0.0210	0.2559	0.8590	0.9849	
0.0151	0.9791	0.9787	0.9693	0.8280	0.5558	0.5063	0.0214	0.0321	0.2869	0.8673	0.9856	
0.0201	0.9719	0.9713	0.9594	0.8081	0.5461	0.5013	0.0288	0.0424	0.3076	0.8708	0.9860	
0.0251	0.9650	0.9641	0.9502	0.7924	0.5393	0.4982	0.0360	0.0518	0.3238	0.8734	0.9862	
0.0302	0.9583	0.9573	0.9417	0.7790	0.5338	0.4957	0.0428	0.0606	0.3376	0.8757	0.9864	
0.0352	0.9519	0.9507	0.9336	0.7673	0.5291	0.4934	0.0494	0.0689	0.3498	0.8778	0.9866	
0.0402	0.9458	0.9444	0.9259	0.7567	0.5250	0.4913	0.0558	0.0768	0.3608	0.8797	0.9868	
0.0452	0.9398	0.9382	0.9186	0.7470	0.5212	0.4892	0.0620	0.0844	0.3709	0.8814	0.9870	
0.0503	0.9340	0.9323	0.9115	0.7380	0.5177	0.4873	0.0680	0.0916	0.3803	0.8831	0.9872	
0.0553	0.9284	0.9265	0.9048	0.7296	0.5144	0.4854	0.0738	0.0986	0.3892	0.8847	0.9874	
0.0603	0.9229	0.9208	0.8982	0.7216	0.5114	0.4835	0.0794	0.1053	0.3976	0.8862	0.9875	
0.0653	0.9176	0.9154	0.8919	0.7141	0.5085	0.4817	0.0849	0.1118	0.4056	0.8877	0.9877	
0.0704	0.9124	0.9100	0.8858	0.7068	0.5057	0.4800	0.0902	0.1181	0.4132	0.8891	0.9879	
0.0754	0.9074	0.9048	0.8798	0.6999	0.5031	0.4783	0.0955	0.1242	0.4206	0.8905	0.9880	
0.0804	0.9024	0.8997	0.8740	0.6932	0.5006	0.4766	0.1006	0.1302	0.4277	0.8919	0.9882	
0.0854	0.8976	0.8948	0.8683	0.6868	0.4981	0.4749	0.1055	0.1360	0.4346	0.8932	0.9883	
0.0905	0.8929	0.8899	0.8628	0.6806	0.4957	0.4733	0.1104	0.1417	0.4413	0.8945	0.9884	
0.0955	0.8883	0.8851	0.8574	0.6746	0.4934	0.4717	0.1152	0.1472	0.4478	0.8957	0.9886	
0.1005	0.8837	0.8804	0.8521	0.6687	0.4912	0.4702	0.1199	0.1527	0.4542	0.8970	0.9887	
0.1055	0.8793	0.8758	0.8469	0.6630	0.4890	0.4686	0.1245	0.1580	0.4604	0.8982	0.9889	
0.1106	0.8749	0.8713	0.8418	0.6574	0.4869	0.4671	0.1290	0.1633	0.4665	0.8994	0.9890	
